"","date","time","subject","blockcode","blocknum_and_trialnum","trialcode","primestim","targetstim","correct","latency","exclude_based_on_trial_count"
"62","23.06.22",12:23:51,994692692,"test","2_53","prime_positive",3,9,1,402,"include"
"63","23.06.22",12:23:51,994692692,"test","2_54","prime_negative",3,20,0,438,"include"
"64","23.06.22",12:23:51,994692692,"test","2_55","prime_positive",2,44,1,454,"include"
"65","23.06.22",12:23:51,994692692,"test","2_56","prime_positive",2,54,1,793,"include"
"66","23.06.22",12:23:51,994692692,"test","2_57","prime_positive",4,34,1,577,"include"
"67","23.06.22",12:23:51,994692692,"test","2_58","prime_negative",4,37,1,534,"include"
"68","23.06.22",12:23:51,994692692,"test","2_59","prime_negative",1,58,0,236,"include"
"69","23.06.22",12:23:51,994692692,"test","2_60","prime_negative",3,43,0,376,"include"
"70","23.06.22",12:23:51,994692692,"test","2_61","prime_negative",2,17,0,550,"include"
"71","23.06.22",12:23:51,994692692,"test","2_62","prime_negative",1,47,0,533,"include"
"72","23.06.22",12:23:51,994692692,"test","2_63","prime_positive",1,5,1,457,"include"
"73","23.06.22",12:23:51,994692692,"test","2_64","prime_positive",3,56,1,481,"include"
"74","23.06.22",12:23:51,994692692,"test","2_65","prime_positive",1,43,1,1368,"include"
"75","23.06.22",12:23:51,994692692,"test","2_66","prime_negative",2,32,1,606,"include"
"76","23.06.22",12:23:51,994692692,"test","2_67","prime_positive",2,11,1,421,"include"
"77","23.06.22",12:23:51,994692692,"test","2_68","prime_negative",3,6,0,357,"include"
"78","23.06.22",12:23:51,994692692,"test","2_69","prime_positive",3,69,1,564,"include"
"79","23.06.22",12:23:51,994692692,"test","2_70","prime_negative",4,7,1,780,"include"
"80","23.06.22",12:23:51,994692692,"test","2_71","prime_positive",4,33,1,4696,"include"
"81","23.06.22",12:23:51,994692692,"test","2_72","prime_positive",3,40,1,372,"include"
"82","23.06.22",12:23:51,994692692,"test","2_73","prime_negative",2,66,0,377,"include"
"83","23.06.22",12:28:35,246532124,"test","2_2","prime_positive",2,28,1,1344,"exclude"
"84","23.06.22",12:28:35,246532124,"test","2_3","prime_positive",3,63,1,769,"exclude"
"85","23.06.22",12:28:35,246532124,"test","2_4","prime_positive",1,13,1,636,"exclude"
"86","23.06.22",12:28:35,246532124,"test","2_5","prime_positive",4,60,1,502,"exclude"
"87","23.06.22",12:28:35,246532124,"test","2_6","prime_negative",3,57,1,670,"exclude"
"88","23.06.22",12:28:35,246532124,"test","2_7","prime_positive",1,44,1,569,"exclude"
"89","23.06.22",12:28:35,246532124,"test","2_8","prime_negative",1,45,1,695,"exclude"
"90","23.06.22",12:28:35,246532124,"test","2_9","prime_negative",4,12,1,752,"exclude"
"91","23.06.22",12:28:35,246532124,"test","2_10","prime_negative",2,62,1,1129,"exclude"
"92","23.06.22",12:28:35,246532124,"test","2_11","prime_positive",2,39,1,653,"exclude"
"93","23.06.22",12:28:35,246532124,"test","2_12","prime_positive",3,72,1,620,"exclude"
"94","23.06.22",12:28:35,246532124,"test","2_13","prime_positive",4,2,1,444,"exclude"
"95","23.06.22",12:28:35,246532124,"test","2_14","prime_positive",3,4,1,403,"exclude"
"96","23.06.22",12:28:35,246532124,"test","2_15","prime_positive",1,67,1,386,"exclude"
"97","23.06.22",12:28:35,246532124,"test","2_16","prime_negative",4,29,1,769,"exclude"
"98","23.06.22",12:28:35,246532124,"test","2_17","prime_negative",3,65,1,628,"exclude"
"99","23.06.22",12:28:35,246532124,"test","2_18","prime_negative",1,1,1,794,"exclude"
"100","23.06.22",12:28:35,246532124,"test","2_19","prime_negative",1,7,0,1338,"exclude"
"101","23.06.22",12:28:35,246532124,"test","2_20","prime_negative",4,70,1,611,"exclude"
"102","23.06.22",12:28:35,246532124,"test","2_21","prime_positive",2,54,1,794,"exclude"
"103","23.06.22",12:28:35,246532124,"test","2_22","prime_positive",4,6,1,453,"exclude"
"104","23.06.22",12:28:35,246532124,"test","2_23","prime_negative",2,23,1,1246,"exclude"
"105","23.06.22",12:28:35,246532124,"test","2_24","prime_negative",3,26,1,1388,"exclude"
